psraid,sample,int_date,lang,form,llitext1,qs1,live1,reg,oftvote,eminuse,intmob,home3nw,bbhome1f1,bbhome1f2,bbhome2,device1a,smart1,intfreq,device1b,device1c,device1d,act112,act124,act125,act135,act136,act127,act128,act129,sns2a,sns2b,sns2c,sns2d,sns2e,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q2a,q2b,q2c,q2d,q2e,q2f,q3,q4,books1,books2a,books2b,books2c,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q8d,libusea,libuseb,libusec,lib_frq,libst_frq,libapp_frq,libmob,libvisit,ebk_awr,ebk_brw,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q10,q11a,q11b,q11c,q11d,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q16a,q16b,q17a,q17b,q17c,q17d,q18a,q18b,q18c,q18d,sex,age,marital,par,kidage1,educ2,emplnw,disa,party,partyln,ideo,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,hh1,hh3,zipcode,usr,cregion,state,weight,standwt
200244,2,30716,1,1, ,2,1,3, ,1,1,1,2, , , ,1,2,2,1,1,2,1,2,2,1, , , , ,1, ,3, ,1,1,2,2,2,2,2,1,1,1,2,1,1,3,2,1,25,1,2,1,3, ,3,2,1,2,2,1,1,1,3,1,2, ,2,3,2, ,2,2,1,2,2, , ,1,1,1, , ,2,2,2,2, , , ,1,2,1,1,1,2,1,1,1,1,2, , ,1,2, , ,1,28,6,2, ,6,7,2,3,2,4,2,1, , , , ,7,1, ,90015,U,4,6,2.5625,.845071981939115
200245,2,30716,1,2, ,2,4,1,1,1,1, , ,8, , ,1,3,2,1,1, , , , , ,1,2,2, , , , , ,2,2,2,2,2,2,2,2,4,1,3,2,1,4,2,1,5,1,2,2, , , , ,5,3,2,3,1,3,3,3, , , ,3,8, ,2,2,1, , ,2,2,2, , , , ,2, , , , , , ,1,1,1,1,1,1,1,2,1, , ,3,1, , ,1,8,2,50,1,9, ,99,99,9,9,9,9,9,8, , , , ,99,2,99,99999,U,4,6,2.1875,.721402911411439
200249,2,30716,1,1, ,2,1,3, ,1,1,1,2, , , ,1,1,2,2,1,2,1,2,1,2, , , , ,3, , ,1,1,2,2,2,2,1,2,2,4,1,4,1,1,4,2,1,0, , , , , , , ,1,1,1,1,1,1,3,4,4, ,2,3,8, ,1,2,1,2,2, , ,1,1,1, , ,2,1,1,2, , , ,1,4,2,1,2,2,1,2,2,1,1, , ,4,2, , ,2,20,6,2, ,4,2,2,3,2,3,2,1, , , , ,98,4,3,99999,U,4,6,5.78125,1.90656483730166
200252,2,32516,1,2, ,2,4,1,1,1,2, , ,2, , ,2,4,2,2,1, , , , , ,2,2,2, , , , , ,2,2,2,2,2,1,2,2,4,3,4,4,2,4,2,1,0, , , , , , , ,5,5,5,2,1,3,3,4, , , ,3,1,2,2,2,2, , ,2,2,2, , , , ,2, , , , , , ,1,2,2,2,2,3,2,3,1, , ,3,2, , ,2,3,1,58,1,2, ,3,1,2,1, ,2,2,1, , , , ,6,2,2,99022,S,4,53,1.28125,.422535990969557
200253,2,31716,1,2, ,2,2,2, ,1,1, , ,2, , ,1,1,2,1,1, , , , , ,1,2,2, , , , , ,1,1,2,2,1,1,1,1,4,1,2,1,1,4,2,1,4,1,2,2, , , , ,3,2,1,2,1,1,3,3,4, ,1,3,2, ,1,2,2, , ,2,2,2, , , , ,2, , , ,2,2,2,1,2,2,1,1,3,1,2,2, , ,1,1, , ,2,2,1,40,1,1,0,6,1,2,3,9,3,2,3, , , , ,9,4,2,94065,S,4,6,1.78125,.587428085006458
200256,2,30916,1,1, ,2,1,1,2,1,1,1,2, , , ,1,3,2,2,2,2,2,2,1,2, , , , , , , ,3,2,2,2,2,2,1,2,2,3,3,3,1,1,3,2,1,10,1,2,2, , , , ,5,2,1,3,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,1,1,1,1,1,1,1,3,2,2,2, , ,1,1, , ,1,57,6,2, ,3,2,2,2, ,2,2,2, , , , ,2,1, ,54109,U,4,6,3.1875,1.05118709948524
200259,2,30816,1,2, ,2,1,1,1,1,1, , ,2, , ,1,1,2,1,1, , , , , ,2,2,2, , , , , ,2,2,2,2,2,1,2,2,4,2,4,2,2,3,2,1,0, , , , , , , ,1,3,3,5,3,3,3, , , , ,1,8, , , , , , , , , , , , , ,2, , , , , , ,2,8,8,1,3,1,2,1,1, , ,1,1, , ,2,2,2,63,3,2, ,3,1,1,1, ,2,2,1, , , , ,5,2,1,99207,U,4,53,2.84375,.937823784834871
200260,2,32916,1,1, ,2,4,1,2,1,1,1,2, , , ,1,2,2,2,1,2,2,2,1,2, , , , , , , ,2,2,1,2,1,3,1,2,2,8,2,2,4,2,3,2,1,24,1,2,2, , , , ,5,2,3,4,3,3,3, , , , ,3,1,2, , , , , , , , , , , , ,2, , , , , , ,1,1,8,1,2,2,2,3,1,1,3, , ,8,2, , ,2,72,1,2, ,4,3,2,1, ,2,2,1, , , , ,99,2,2,97374,R,4,41,1.65625,.546205061497233
200268,2,32516,1,1, ,2,1,1,1,1,1,1,2, , , ,1,2,2,2,1,2,1,2,1,1, , , , ,1, ,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,12,1,2,1, , ,3,3,1,3,1,1,1,1,3,2,2, ,2,1,8, ,1,1,1,2,2, , ,1,1,1, , ,2,1,2,2, , , ,1,3,2,2,3,1,1,2,1,1,2, , ,4,2, , ,1,19,6,2, ,3,2,2,2, ,4,2,3, , , , ,6,3,3,94123,U,4,6,3.59375,1.18516192589022
200271,2,32516,1,1, ,2,3,1,4,2,2, , , , , ,2, ,2,2,1, , , , , , , , , , , , , ,2,2,1,1,2,1,2,2,4,1,4,1,1,4,2,1,7,1,2,2, , , , ,5,3,3,3,1,1,1,3,3,2,2,3,2, ,2,2,1,2,2, , ,1,2,2, , ,2,2,2,2, , , ,1,1,1,1,1,1,1,1,1,1,2, , ,4,2, , ,2,46,6,2, ,3,3,1,3,1,2,2,1, , , , ,1,3,2,30705,S,3,13,3.96875,1.3088309964179
200287,2,30916,1,1, ,2,1,1,1,2,1,1,4, , , ,1,4,2,1,2,2,2,1,1,2, , , , , ,2, ,3,1,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,30,1,2,2, , , , ,5,2,1,1,3,3,3, , , , ,1,1,2, , , , , , , , , , , , ,1, , , , , , ,1,1,1,1,1,2,2,1,1,3,1, , ,3,2, , ,1,57,5,2, ,5,6,2,2, ,2,2,2, , , , ,2,3,3,10454,U,1,36,2.0625,.680179887902214
